sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn,specimen_id_from_name,date,week,calendar_date,campaign_id,series_id,split_group_treatment,treatment_protocol,treatment_coarse,treatment_label_coarse,n_steel_mesh,nacl_pct,terminal_week,terminal_days,image_filename,image_path,image_readable,image_width,image_height,image_error,observation_id,wire_area_loss_frac,wire_area_loss_pct,cover_mm,has_structural_label,is_terminal_structural_row,img_rust_area_ratio_pct,img_black_mask_ratio_pct,img_gray_mask_ratio_pct,img_brightness_mean,img_brightness_std,img_brightness_p10,img_brightness_p90,img_contrast,img_r_mean,img_g_mean,img_b_mean,img_r_std,img_g_std,img_b_std,img_gray_hist_bin_0,img_gray_hist_bin_1,img_gray_hist_bin_2,img_gray_hist_bin_3,img_gray_hist_bin_4,img_gray_hist_bin_5,img_gray_hist_bin_6,img_gray_hist_bin_7,img_glcm_contrast,img_glcm_homogeneity,img_glcm_energy,img_lbp_mean,img_lbp_std,img_rust_blob_count,img_rust_blob_largest_ratio_pct,img_rust_blob_mean_ratio_pct,img_rust_blob_eccentricity_mean,img_rust_blob_eccentricity_max,img_strip_count,img_strip_rust_mean_pct,img_strip_rust_std_pct,img_strip_rust_max_pct,img_strip_rust_p90_pct,img_strip_high_count,img_strip_peak_location_cm,img_rust_center_of_mass_cm,img_edge_to_center_rust_ratio
D01-20240918-36W,D01,4,NO,D,252,0.943,1,2.94,1,11.5,7.16,0.2603,1.89,D01,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D01-20240918-36W.png,Data/Images_dataset/D01-20240918-36W.png,True,2835.0,650.0,,D01-20240918-36W,0.2603,26.03,7.16,True,True,0.9433184099850768,0.0,0.1685524352191018,194.7012551892552,23.06301767111333,166.0,218.0,23.06301767111333,212.6935704789038,196.28810039343372,144.10198019264686,21.751696481795,24.365702138629462,22.692417959409713,6.952923619590287e-07,5.7997557997558e-06,0.000140991724325,0.0005035612535612,0.001607736399403,0.008179538054538,0.0198245997829331,0.0009870777370777,4.862094702556447,0.5072685830927464,0.1604948464006248,5.053830245658363,3.168382127471695,152.0,0.3851309184642518,0.0062060421709544,0.6464474108842883,1.0,47.0,0.8927016005991846,1.7613593049874354,7.026075619295959,3.08657105606258,3.0,12.486772486772487,14.830388261717724,0.7973383378014942
D02-20240918-36W,D02,4,NO,D,252,1.455,1,5.501,2,11.5,5.61,0.3292,1.8,D02,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D02-20240918-36W.png,Data/Images_dataset/D02-20240918-36W.png,True,2835.0,650.0,,D02-20240918-36W,0.3292,32.92,5.61,True,True,1.4550535883869218,0.0,1.915398182064849,191.21927011260345,28.657071263433945,162.0,218.0,28.657071263433945,209.93832858499525,193.0123424230091,137.18333306199972,27.616909072559903,30.457779093422435,24.67278356773386,3.340795007461674e-06,1.804368471035138e-05,0.0007263091846425,0.0007448107448107,0.0014225681725681,0.0089395434812101,0.0176230667480667,0.0017723171889838,2.2877151218387572,0.6730676545947399,0.1947908647342554,5.2297974335234105,3.160835661955741,416.0,0.6378510378510378,0.0034977249720839,0.6625566337176666,1.0,47.0,1.4818164165441483,1.8400385980645069,7.745762711864407,4.1830508474576265,2.0,10.488888888888887,14.094482558705138,0.2305531613323969
D03-20240918-36W,D03,4,NO,D,252,0.044,1,0.177,1,1.51,5.9,0.2028,1.64,D03,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D03-20240918-36W.png,Data/Images_dataset/D03-20240918-36W.png,True,2835.0,650.0,,D03-20240918-36W,0.2028,20.28,5.9,True,True,0.0443359110025776,0.0,0.0482973816307149,189.70985212318547,19.125243044783005,164.0,212.0,19.125243044783005,205.54732275132275,192.37884683218016,138.9658955365622,20.22031029573306,19.268784381117307,15.85757092949482,3.0016280016280017e-06,3.8665038665038664e-06,1.5466015466015466e-05,9.08119658119658e-05,0.0017928367928367,0.0126071089404422,0.0166820478903812,5.486026319359653e-05,2.2759196955383625,0.6660135163653639,0.1980541886820669,5.217337129111251,3.1438222812066474,55.0,0.0068376068376068,0.0008061074727741,0.5914334841236324,1.0,47.0,0.0448833532136813,0.0782341368453905,0.3585397653194263,0.123076923076923,0.0,0.4994708994708994,7.757719881098096,3.9022689688812537
D04-20240918-36W,D04,4,NO,D,252,31.395,4,57.293,4,16.49,2.28,0.2165,1.87,D04,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D04-20240918-36W.png,Data/Images_dataset/D04-20240918-36W.png,True,2835.0,650.0,,D04-20240918-36W,0.2165,21.65,2.28,True,True,31.395414462081128,0.0,7.878388278388278,129.01325790259125,39.11176365517478,81.0,186.0,39.11176365517478,163.35214652014653,122.72619997286664,75.74673667073667,37.76784596720529,42.76758768354057,29.23307199104051,1.0175010175010177e-07,0.0003558031474698,0.0073246167412834,0.0087299721883055,0.0066984466151132,0.0060380545380545,0.0020767874101207,2.6217609550942883e-05,3.261013728541572,0.550076497651297,0.1083650263493349,4.959512663649658,2.961910835191857,1689.0,24.798589065255733,0.0185881672362824,0.6693739323263423,1.0,47.0,31.852561790895724,16.693343003068907,61.48761408083442,54.78461538461538,45.0,14.984126984126984,12.643000985395885,0.4710311793001995
D05-20240918-36W,D05,4,NO,D,252,10.999,2,28.079,4,4.0,4.27,0.2281,2.05,D05,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D05-20240918-36W.png,Data/Images_dataset/D05-20240918-36W.png,True,2835.0,650.0,,D05-20240918-36W,0.2281,22.81,4.27,True,True,10.998941798941798,0.0,1.5233753900420568,168.39467969067968,41.16937762550208,104.0,215.0,41.16937762550208,205.10883353683352,163.9402507122507,99.42753764753763,36.75865716722137,45.61907163543789,36.45313773741995,6.919006919006919e-06,0.0002293277709944,0.0020661375661375,0.0033126950210283,0.0053290937457604,0.0094241113824447,0.0095878272961606,0.0012938882105548,6.066974593405218,0.4883409829091611,0.0979708999794309,5.008047279932852,3.1349531292290216,1269.0,4.660317460317461,0.0086674088250132,0.6506039613769334,1.0,47.0,10.901578407168024,10.468787548384888,34.91786179921773,25.165058670143413,26.0,5.4941798941798945,7.313160282847923,1.7896682213394732
D06-20240918-36W,D06,4,NO,D,252,8.499,2,23.086,4,6.5,6.58,0.2253,1.61,D06,20240918,36,2024-09-18,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252,D06-20240918-36W.png,Data/Images_dataset/D06-20240918-36W.png,True,2835.0,650.0,,D06-20240918-36W,0.2253,22.53,6.58,True,True,8.498602631935965,0.0,1.7246506579839913,158.08564862298195,34.01935101091182,108.0,198.0,34.01935101091182,186.19152082485417,156.55446045312712,96.81763559896892,30.942659346278372,37.257656233937915,30.553393321904583,2.357210690544024e-06,0.0001948005698005,0.0021122812372812,0.0025321360738027,0.0095788054538054,0.0119017941934608,0.0049046431963098,2.3182064848731517e-05,5.057919865307763,0.4862895234890202,0.1065176758264442,5.053388943210432,3.1446017227366867,647.0,6.328259394926062,0.013135398194646,0.623829635096474,1.0,47.0,8.504563233376793,8.654035837609753,26.70013037809648,24.614863102998697,22.0,6.493121693121693,7.6098183608911025,1.9673004690318052
E01-20240918-36W,E01,4,SA,SA,252,2.707,1,8.301,2,1.51,6.22,0.3889,1.7,E01,20240918,36,2024-09-18,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252,E01-20240918-36W.png,Data/Images_dataset/E01-20240918-36W.png,True,2835.0,650.0,,E01-20240918-36W,0.3889,38.89,6.22,True,True,2.7072039072039074,0.0,0.704382037715371,174.29524189390855,25.329651346300704,144.0,199.0,25.329651346300704,197.50566490299823,174.30528829195495,118.25970804504138,22.387558374485803,27.514379846541356,25.41551830525384,0.0,2.1604938271604937e-05,0.0006533374033374,0.0011600868267534,0.0043940781440781,0.0177426400759734,0.0072026522859856,7.56003256003256e-05,2.7975722288287304,0.5554378024992159,0.1604182551076314,4.998528991840232,2.9968641762111075,204.0,0.881345814679148,0.0132706073882544,0.7121068073522406,1.0,47.0,2.5739687647368856,3.380755709791752,11.173402868318124,7.389048239895696,13.0,1.4984126984126984,9.943487307770589,8.13024658101527
E02-20240918-36W,E02,4,SA,SA,252,3.178,1,6.874,2,6.5,4.35,0.2531,1.79,E02,20240918,36,2024-09-18,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252,E02-20240918-36W.png,Data/Images_dataset/E02-20240918-36W.png,True,2835.0,650.0,,E02-20240918-36W,0.2531,25.31,4.35,True,True,3.177696377696378,0.0,3.249057115723782,188.8274128340795,38.299064084155575,134.0,224.0,38.299064084155575,213.985024013024,188.93282973816304,126.8674649301316,37.366871206195945,40.66719540212421,32.07952019344693,1.997693664360331e-05,7.012277845611179e-05,0.0014390856057522,0.0012835775335775,0.0027097239180572,0.0065717338217338,0.0155811965811965,0.0035745828245828,6.081136726914679,0.5281305055172754,0.1409200014701614,5.02624451616811,3.063922774417358,908.0,0.3957671957671957,0.003499665614203,0.6585458264062714,1.0,47.0,3.179477932813671,2.4281394742879097,11.747066492829203,5.926727509778356,8.0,6.493121693121693,10.644376803572118,1.0493304051548862
E03-20240918-36W,E03,4,SA,SA,252,7.367,2,13.262,3,9.0,3.56,0.3566,1.91,E03,20240918,36,2024-09-18,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252,E03-20240918-36W.png,Data/Images_dataset/E03-20240918-36W.png,True,2835.0,650.0,,E03-20240918-36W,0.3566,35.66,3.56,True,True,7.3672500339167,0.0,1.2856328856328858,185.25152462352463,41.94768386097783,117.0,228.0,41.94768386097783,214.90739384072717,183.295769366436,122.0680238773572,36.30571534014271,46.22055516223358,42.06273029279819,4.103920770587437e-06,9.384751051417718e-05,0.001469305385972,0.0023604836521503,0.0032617182200515,0.0066013261429928,0.0125415309998643,0.0049176841676841,7.968253993385767,0.463660669703084,0.1061117102454772,4.993250668443414,3.112246120920641,1066.0,2.071415004748338,0.0069111163545184,0.6649330494648658,1.0,47.0,7.365391550389746,5.0756243477896295,18.34550195567145,14.513950456323338,29.0,9.989417989417989,8.957403572441875,0.6953153274124916
E04-20240918-36W,E04,4,SA,SA,252,3.274,1,6.458,2,21.49,6.13,0.5099,1.66,E04,20240918,36,2024-09-18,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252,E04-20240918-36W.png,Data/Images_dataset/E04-20240918-36W.png,True,2835.0,650.0,,E04-20240918-36W,0.5099,50.99,6.13,True,True,3.2735314068647403,0.0,0.7004205670872338,196.7341820648487,33.940465060580905,148.0,228.0,33.940465060580905,219.72775362908695,196.69919305385972,141.45379242979243,28.362861454036793,37.09759442600671,36.428408328833015,1.6958350291683625e-08,9.666259666259666e-06,0.0006068884818884,0.0014260615927282,0.0019364061864061,0.0056999728666395,0.0159393230226563,0.0056316646316646,4.633672489197456,0.5255607871009207,0.144845683763111,4.9725786773040745,3.02245569842432,354.0,0.4912766246099579,0.0092472638611998,0.7417528939189193,1.0,47.0,3.2249715664789593,3.233067720637076,11.73663624511082,8.059713168187743,11.0,22.47619047619047,11.959388642113309,2.623730444730023
