target,feature_name,source_family,n_valid,spearman_corr,spearman_abs_corr
surface_total_rust_pct,img_brightness_std,image_color,791,0.8334592074695362,0.8334592074695362
surface_total_rust_pct,img_contrast,image_color,791,0.8334592074695362,0.8334592074695362
surface_total_rust_pct,img_brightness_p10,image_color,791,-0.7930585622686334,0.7930585622686334
surface_total_rust_pct,img_rust_blob_mean_ratio_pct,image_morphology,791,0.7880561642424381,0.7880561642424381
surface_total_rust_pct,img_b_std,image_color,791,0.7757803824274393,0.7757803824274393
surface_total_rust_pct,img_r_std,image_color,791,0.769201555941,0.769201555941
surface_total_rust_pct,img_b_mean,image_color,791,-0.7313691698512513,0.7313691698512513
surface_total_rust_pct,img_gray_hist_bin_4,image_histogram,791,0.7172035236189699,0.7172035236189699
surface_total_rust_pct,img_gray_mask_ratio_pct,image_mask,791,0.7135504323535453,0.7135504323535453
surface_total_rust_pct,img_g_mean,image_color,791,-0.6654957300529935,0.6654957300529935
surface_total_rust_pct,img_brightness_mean,image_color,791,-0.6565536479310344,0.6565536479310344
surface_total_rust_pct,img_glcm_energy,image_texture,791,-0.6170456776380742,0.6170456776380742
surface_total_rust_pct,ageing_days,temporal,791,0.6035810090524141,0.6035810090524141
surface_total_rust_pct,week,temporal,791,0.6035810090524141,0.6035810090524141
surface_total_rust_pct,img_gray_hist_bin_0,image_histogram,791,0.5762568948828439,0.5762568948828439
surface_total_rust_pct,img_rust_blob_eccentricity_max,image_morphology,791,0.5694129882067895,0.5694129882067895
surface_total_rust_pct,img_r_mean,image_color,791,-0.558951787051565,0.558951787051565
surface_total_rust_pct,img_brightness_p90,image_color,791,-0.46194021531845114,0.46194021531845114
surface_total_rust_pct,img_gray_hist_bin_7,image_histogram,791,-0.4604281624576718,0.4604281624576718
surface_total_rust_pct,img_glcm_contrast,image_texture,791,0.44789687231050423,0.44789687231050423
surface_total_rust_pct,img_glcm_homogeneity,image_texture,791,-0.41756655270036697,0.41756655270036697
surface_total_rust_pct,img_lbp_mean,image_texture,791,-0.385048749620829,0.385048749620829
surface_total_rust_pct,img_gray_hist_bin_5,image_histogram,791,0.34921045957587743,0.34921045957587743
surface_total_rust_pct,img_lbp_std,image_texture,791,0.2735250881156026,0.2735250881156026
surface_total_rust_pct,img_strip_peak_location_cm,image_spatial,791,0.2629039009066529,0.2629039009066529
surface_total_rust_pct,img_rust_center_of_mass_cm,image_spatial,791,0.2580265655625167,0.2580265655625167
surface_total_rust_pct,img_black_mask_ratio_pct,image_mask,791,0.2564835244892037,0.2564835244892037
surface_total_rust_pct,cover_mm,tabular_metadata,791,-0.12218824373442254,0.12218824373442254
surface_total_rust_pct,img_rust_blob_eccentricity_mean,image_morphology,791,0.1180902882563169,0.1180902882563169
surface_total_rust_pct,img_edge_to_center_rust_ratio,image_spatial,791,-0.04147377730733897,0.04147377730733897
surface_total_rust_pct,img_gray_hist_bin_6,image_histogram,791,-0.028869365254329836,0.028869365254329836
surface_total_rust_pct,n_steel_mesh,tabular_metadata,791,-0.008722299582039428,0.008722299582039428
surface_total_rust_pct,nacl_pct,tabular_metadata,791,0.008722299582039428,0.008722299582039428
surface_total_rust_pct,terminal_week,temporal,791,0.008722299582039428,0.008722299582039428
surface_total_rust_pct,terminal_days,temporal,791,0.008722299582039428,0.008722299582039428
surface_total_rust_pct,img_strip_count,image_spatial,791,,
ultimate_load_kn,ageing_days,temporal,48,-0.8273155876362064,0.8273155876362064
ultimate_load_kn,week,temporal,48,-0.8273155876362064,0.8273155876362064
ultimate_load_kn,n_steel_mesh,tabular_metadata,48,0.8273155876362064,0.8273155876362064
ultimate_load_kn,nacl_pct,tabular_metadata,48,-0.8273155876362064,0.8273155876362064
ultimate_load_kn,terminal_week,temporal,48,-0.8273155876362064,0.8273155876362064
ultimate_load_kn,terminal_days,temporal,48,-0.8273155876362064,0.8273155876362064
ultimate_load_kn,img_gray_hist_bin_0,image_histogram,48,0.6455685900689306,0.6455685900689306
ultimate_load_kn,cover_mm,tabular_metadata,48,-0.6347078014545466,0.6347078014545466
ultimate_load_kn,img_black_mask_ratio_pct,image_mask,48,0.6146852496132849,0.6146852496132849
ultimate_load_kn,img_gray_hist_bin_1,image_histogram,48,0.5720646177312555,0.5720646177312555
ultimate_load_kn,img_b_std,image_color,48,0.5541952987125149,0.5541952987125149
ultimate_load_kn,img_strip_rust_max_pct,image_spatial,48,0.48705142578549604,0.48705142578549604
ultimate_load_kn,img_rust_area_ratio_pct,image_mask,48,0.4634345079149475,0.4634345079149475
ultimate_load_kn,img_strip_rust_std_pct,image_spatial,48,0.46017700200176836,0.46017700200176836
ultimate_load_kn,img_strip_rust_mean_pct,image_spatial,48,0.45252186310579745,0.45252186310579745
ultimate_load_kn,img_strip_rust_p90_pct,image_spatial,48,0.4455545039011657,0.4455545039011657
ultimate_load_kn,img_gray_hist_bin_3,image_histogram,48,0.43681968783707825,0.43681968783707825
ultimate_load_kn,img_strip_high_count,image_spatial,48,0.4297334617756768,0.4297334617756768
ultimate_load_kn,img_rust_blob_largest_ratio_pct,image_morphology,48,0.4276019428699774,0.4276019428699774
ultimate_load_kn,img_gray_hist_bin_6,image_histogram,48,-0.41450637790654893,0.41450637790654893
ultimate_load_kn,img_g_std,image_color,48,0.4067971564706969,0.4067971564706969
ultimate_load_kn,img_rust_blob_count,image_morphology,48,0.3923500898810699,0.3923500898810699
ultimate_load_kn,img_brightness_std,image_color,48,0.3656994055767536,0.3656994055767536
ultimate_load_kn,img_contrast,image_color,48,0.3656994055767536,0.3656994055767536
ultimate_load_kn,img_brightness_p10,image_color,48,-0.351859896823242,0.351859896823242
ultimate_load_kn,img_gray_hist_bin_4,image_histogram,48,0.34175738689217094,0.34175738689217094
