strategy,split_id,train_rows,test_rows,train_specimens,test_specimens,leakage_detected
leave_one_campaign_out,leave_one_campaign_out_0,431,360,24,24,False
leave_one_campaign_out,leave_one_campaign_out_1,360,431,24,24,False
