split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.01184857782685018,0.2720684587125706,0.023876313301988715,0.3249384462261874,0.995231183417472,0.5403672628990195,0.9971541693471101,0.6139845991168652
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.031694776132426404,0.10203016189739586,0.04634288423700548,0.17323074326094998,0.9861073955358743,0.7028852148915241,0.9912434860161832,0.8753839828992931
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.01504569157956528,0.2188613715695539,0.028947450100704573,0.259149542363235,0.9939298767850775,0.5926851164956899,0.9956217699650178,0.8545454545454544
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.04083378905667014,0.11232509230040885,0.06547423576062897,0.12902374626525281,0.971532926188636,0.8494162447093173,0.9840032852400297,0.8666666666666667
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.011221786508460622,0.22359600207663677,0.02476926573975213,0.2853994706458635,0.9960355565210564,0.14998048320749502,0.9978738943642074,0.6610936529170212
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.028911383738806615,0.14256621398837008,0.05208944737191408,0.16156587173129366,0.97925168558404,0.8599114990753647,0.9933775563484558,0.9393939393939393
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.015530452712767914,0.2679689713852801,0.026294868693568067,0.3274304530210515,0.9954491349039984,-0.0192681545251272,0.9978657408531398,0.4756185979889012
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.016094055759207963,0.13674196175906508,0.031749197610644854,0.20535075097965277,0.9929913484113422,0.69823508542298,0.9958411095523574,0.7333333333333332
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.022043648695798897,0.18868499015141268,0.036058720671054846,0.23885888741472808,0.9909743244944876,0.5986539683656277,0.9896229119810223,0.75
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.02178524286937865,0.1927882552818315,0.03950355092411986,0.21376183213075767,0.9893598759860062,0.6341218079331994,0.9937222362251232,0.7999999999999999
