strategy,fold_id,holdout_group,model,target,task,n_train,n_test,accuracy,macro_f1
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,peak_rust_category,classification,633,159,0.6226415094339622,0.5173180581535665
group_shuffle,fold_00,mixed_specimens,mlp_classifier,peak_rust_category,classification,633,159,0.5911949685534591,0.5313175288947971
leave_one_treatment_out,fold_00,MI,logistic_regression,peak_rust_category,classification,702,90,0.5111111111111111,0.46500989015981525
leave_one_treatment_out,fold_01,NO,logistic_regression,peak_rust_category,classification,624,168,0.6309523809523809,0.5689937105055807
leave_one_treatment_out,fold_02,PA,logistic_regression,peak_rust_category,classification,669,123,0.3333333333333333,0.21797235023041478
leave_one_treatment_out,fold_03,SA,logistic_regression,peak_rust_category,classification,486,306,0.5751633986928104,0.4921478112659866
leave_one_treatment_out,fold_04,SA_PA,logistic_regression,peak_rust_category,classification,747,45,0.7111111111111111,0.5144086021505376
leave_one_treatment_out,fold_05,SA_VF,logistic_regression,peak_rust_category,classification,762,30,0.3333333333333333,0.3288888888888889
leave_one_treatment_out,fold_06,VF,logistic_regression,peak_rust_category,classification,762,30,0.5333333333333333,0.3504761904761905
leave_one_treatment_out,fold_00,MI,random_forest,peak_rust_category,classification,702,90,0.4,0.3555227791076848
leave_one_treatment_out,fold_01,NO,random_forest,peak_rust_category,classification,624,168,0.6785714285714286,0.5787862276637015
leave_one_treatment_out,fold_02,PA,random_forest,peak_rust_category,classification,669,123,0.5284552845528455,0.380806188132201
leave_one_treatment_out,fold_03,SA,random_forest,peak_rust_category,classification,486,306,0.5816993464052288,0.4539210481938798
leave_one_treatment_out,fold_04,SA_PA,random_forest,peak_rust_category,classification,747,45,0.6,0.3975535846267554
leave_one_treatment_out,fold_05,SA_VF,random_forest,peak_rust_category,classification,762,30,0.7333333333333333,0.47445887445887447
leave_one_treatment_out,fold_06,VF,random_forest,peak_rust_category,classification,762,30,0.7,0.5193103448275862
leave_one_treatment_out,fold_00,MI,hist_gradient_boosting,peak_rust_category,classification,702,90,0.4,0.36835854341736696
leave_one_treatment_out,fold_01,NO,hist_gradient_boosting,peak_rust_category,classification,624,168,0.6428571428571429,0.5765339985218034
leave_one_treatment_out,fold_02,PA,hist_gradient_boosting,peak_rust_category,classification,669,123,0.5934959349593496,0.3743996909108471
leave_one_treatment_out,fold_03,SA,hist_gradient_boosting,peak_rust_category,classification,486,306,0.5849673202614379,0.506100072528206
leave_one_treatment_out,fold_04,SA_PA,hist_gradient_boosting,peak_rust_category,classification,747,45,0.6666666666666666,0.5318487394957983
leave_one_treatment_out,fold_05,SA_VF,hist_gradient_boosting,peak_rust_category,classification,762,30,0.6666666666666666,0.43770423125261837
leave_one_treatment_out,fold_06,VF,hist_gradient_boosting,peak_rust_category,classification,762,30,0.6333333333333333,0.4587878787878788
leave_one_treatment_out,fold_00,MI,mlp_classifier,peak_rust_category,classification,702,90,0.4444444444444444,0.3984444444444445
leave_one_treatment_out,fold_01,NO,mlp_classifier,peak_rust_category,classification,624,168,0.5535714285714286,0.4266111443864503
leave_one_treatment_out,fold_02,PA,mlp_classifier,peak_rust_category,classification,669,123,0.2926829268292683,0.2073913043478261
leave_one_treatment_out,fold_03,SA,mlp_classifier,peak_rust_category,classification,486,306,0.4738562091503268,0.3685816864497042
leave_one_treatment_out,fold_04,SA_PA,mlp_classifier,peak_rust_category,classification,747,45,0.6222222222222222,0.2921409214092141
leave_one_treatment_out,fold_05,SA_VF,mlp_classifier,peak_rust_category,classification,762,30,0.6333333333333333,0.5219373219373219
leave_one_treatment_out,fold_06,VF,mlp_classifier,peak_rust_category,classification,762,30,0.6333333333333333,0.4666666666666666
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,logistic_regression,peak_rust_category,classification,432,360,0.4666666666666667,0.43581677085231174
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,logistic_regression,peak_rust_category,classification,360,432,0.4722222222222222,0.3838007383575815
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,random_forest,peak_rust_category,classification,432,360,0.5111111111111111,0.44742067797223317
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,random_forest,peak_rust_category,classification,360,432,0.5416666666666666,0.3990854810482657
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,hist_gradient_boosting,peak_rust_category,classification,432,360,0.5027777777777778,0.4782992199678665
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,hist_gradient_boosting,peak_rust_category,classification,360,432,0.5046296296296297,0.404055804225104
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,mlp_classifier,peak_rust_category,classification,432,360,0.3055555555555556,0.21829109401924934
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,mlp_classifier,peak_rust_category,classification,360,432,0.49537037037037035,0.3914605833153512
