strategy,fold_id,holdout_group,model,target,task,n_train,n_test,mae,rmse,r2
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,hist_gradient_boosting,surface_total_rust_pct,regression,360,432,2.8154609061780196,4.618948371575885,0.5169677551494347
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,mlp_regressor,surface_total_rust_pct,regression,432,360,2.811729031809704,4.7801719127010545,0.20924307546111642
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,mlp_regressor,surface_total_rust_pct,regression,360,432,2.167491226661619,3.7126588702682346,0.6879242658274449
group_shuffle,fold_00,mixed_specimens,linear_regression,peak_rust_pct,regression,633,159,5.666628678986298,8.540136659506361,0.5952332220865766
group_shuffle,fold_00,mixed_specimens,random_forest,peak_rust_pct,regression,633,159,4.271829408496213,7.608268048841739,0.6787472686081784
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,peak_rust_pct,regression,633,159,4.575933192041062,7.361082473743953,0.6992825803497453
group_shuffle,fold_00,mixed_specimens,mlp_regressor,peak_rust_pct,regression,633,159,4.208694226807103,6.233760596454311,0.7843370915196706
leave_one_treatment_out,fold_00,MI,linear_regression,peak_rust_pct,regression,702,90,4.61696607788476,6.367001999555344,0.7976807109433073
leave_one_treatment_out,fold_01,NO,linear_regression,peak_rust_pct,regression,624,168,5.993629938391925,9.686982340744247,0.7424761504776147
leave_one_treatment_out,fold_02,PA,linear_regression,peak_rust_pct,regression,669,123,18.50176478966635,25.05317939735304,-18.1389537072274
leave_one_treatment_out,fold_03,SA,linear_regression,peak_rust_pct,regression,486,306,7.2292321011343,22.47962954480519,-1.9688082773737268
leave_one_treatment_out,fold_04,SA_PA,linear_regression,peak_rust_pct,regression,747,45,4.789144993105257,6.145109741081158,0.4436209645529222
leave_one_treatment_out,fold_05,SA_VF,linear_regression,peak_rust_pct,regression,762,30,6.984940733932901,8.28961158054415,0.6672287978228494
leave_one_treatment_out,fold_06,VF,linear_regression,peak_rust_pct,regression,762,30,5.762417978044898,8.134697410155688,0.5009330490050412
leave_one_treatment_out,fold_00,MI,random_forest,peak_rust_pct,regression,702,90,3.1853148103964983,5.438004601365146,0.8524135592732088
leave_one_treatment_out,fold_01,NO,random_forest,peak_rust_pct,regression,624,168,4.520208798683316,7.607473518858215,0.8411740951767805
leave_one_treatment_out,fold_02,PA,random_forest,peak_rust_pct,regression,669,123,10.548462944874116,14.041910433853266,-5.012358834512096
leave_one_treatment_out,fold_03,SA,random_forest,peak_rust_pct,regression,486,306,5.709388742529408,9.00147777402115,0.5239731174067392
leave_one_treatment_out,fold_04,SA_PA,random_forest,peak_rust_pct,regression,747,45,3.1748002638782675,5.75780394370169,0.51154426073893
leave_one_treatment_out,fold_05,SA_VF,random_forest,peak_rust_pct,regression,762,30,3.0652550134775622,4.067671181379957,0.919874814217064
leave_one_treatment_out,fold_06,VF,random_forest,peak_rust_pct,regression,762,30,2.988135993740136,4.803289062520055,0.8259983158051256
leave_one_treatment_out,fold_00,MI,hist_gradient_boosting,peak_rust_pct,regression,702,90,3.218295705343621,5.372941352512182,0.8559240413449563
leave_one_treatment_out,fold_01,NO,hist_gradient_boosting,peak_rust_pct,regression,624,168,4.80553617101854,8.12374023405284,0.8188858027119504
leave_one_treatment_out,fold_02,PA,hist_gradient_boosting,peak_rust_pct,regression,669,123,9.144936774176939,13.357143014387336,-4.440259893438489
leave_one_treatment_out,fold_03,SA,hist_gradient_boosting,peak_rust_pct,regression,486,306,6.031881629636754,9.118678760475893,0.5114964940614233
leave_one_treatment_out,fold_04,SA_PA,hist_gradient_boosting,peak_rust_pct,regression,747,45,3.3908550047781247,5.50187283936882,0.5540023519597472
leave_one_treatment_out,fold_05,SA_VF,hist_gradient_boosting,peak_rust_pct,regression,762,30,4.19471396363518,5.969617196764936,0.8274279977823957
leave_one_treatment_out,fold_06,VF,hist_gradient_boosting,peak_rust_pct,regression,762,30,3.014294684171053,4.985472004119507,0.8125486515442912
