feature,feature_value,feature_value_label,prediction_mean,feature_kind
img_hsv_v_hist_bin_0,6.446886446886447e-05,6.447e-05,2.1975877554402947,numeric
img_hsv_v_hist_bin_0,0.0002519526329050138,0.000252,2.246581921791977,numeric
img_hsv_v_hist_bin_0,0.000506479058860011,0.0005065,2.2353607709555345,numeric
img_hsv_v_hist_bin_0,0.0008500959358102215,0.0008501,2.2457153198383053,numeric
img_hsv_v_hist_bin_0,0.0015575789290075003,0.001558,2.25121097615679,numeric
img_hsv_v_hist_bin_0,0.0026038723181580317,0.002604,2.2824134685345276,numeric
img_hsv_v_hist_bin_0,0.005047890381223713,0.005048,2.2889445015151724,numeric
img_hsv_v_hist_bin_0,0.014355284221950886,0.01436,2.3045069494633315,numeric
img_hsv_v_std,0.014636836433783175,0.01464,2.2109329865143725,numeric
img_hsv_v_std,0.06055813189595938,0.06056,2.2104201710935163,numeric
img_hsv_v_std,0.07531211067523275,0.07531,2.2088389476995296,numeric
img_hsv_v_std,0.08642040086644036,0.08642,2.1949356714476416,numeric
img_hsv_v_std,0.09639986774751119,0.0964,2.17993246568698,numeric
img_hsv_v_std,0.10984474734536238,0.1098,2.1547509518647474,numeric
img_hsv_v_std,0.12440170241253716,0.1244,2.066461109044616,numeric
img_hsv_v_std,0.14824271276593207,0.1482,2.0613676422792264,numeric
img_hsv_v_hist_bin_2,0.00019926739926739927,0.0001993,2.077098235904643,numeric
img_hsv_v_hist_bin_2,0.0019188712522045853,0.001919,2.087828579387479,numeric
img_hsv_v_hist_bin_2,0.005739682539682538,0.00574,2.2264215276580126,numeric
img_hsv_v_hist_bin_2,0.011729426129426129,0.01173,2.2010152600406543,numeric
img_hsv_v_hist_bin_2,0.019742233075566412,0.01974,2.192051277092293,numeric
img_hsv_v_hist_bin_2,0.037881644281644276,0.03788,2.190748233559738,numeric
img_hsv_v_hist_bin_2,0.07637064170397503,0.07637,2.166197622330276,numeric
img_hsv_v_hist_bin_2,0.20290717677384357,0.2029,2.1587726877601807,numeric
img_hsv_v_hist_bin_3,0.0004884004884004884,0.0004884,2.1370069475621127,numeric
img_hsv_v_hist_bin_3,0.004021784212260402,0.004022,2.1627808557210124,numeric
img_hsv_v_hist_bin_3,0.016130085082466022,0.01613,2.1949600217217102,numeric
img_hsv_v_hist_bin_3,0.035121731883636646,0.03512,2.1855617469517115,numeric
img_hsv_v_hist_bin_3,0.07253444967730682,0.07253,2.184316718366233,numeric
img_hsv_v_hist_bin_3,0.13758520844235128,0.1376,2.1815975957624407,numeric
img_hsv_v_hist_bin_3,0.2727017462255556,0.2727,2.1687113592383787,numeric
img_hsv_v_hist_bin_3,0.7653029439696106,0.7653,2.1699862458157235,numeric
img_hsv_h_std,0.005524807400070131,0.005525,2.2278410900187477,numeric
img_hsv_h_std,0.0075785705786464465,0.007579,2.192860495969984,numeric
img_hsv_h_std,0.010152414720505475,0.01015,2.158772021022181,numeric
img_hsv_h_std,0.013909553204263956,0.01391,2.14365413401312,numeric
img_hsv_h_std,0.01822558730574591,0.01823,2.1403937199431344,numeric
img_hsv_h_std,0.023527284911168473,0.02353,2.1409549897891846,numeric
img_hsv_h_std,0.0319840201575841,0.03198,2.139913068360779,numeric
img_hsv_h_std,0.0572717873379588,0.05727,2.1421230851043114,numeric
img_hsv_v_hist_bin_6,0.009233156966490302,0.009233,2.1893676046510406,numeric
img_hsv_v_hist_bin_6,0.3145541019826733,0.3146,2.169079157283003,numeric
img_hsv_v_hist_bin_6,1.2091845960036436,1.209,2.140891967529883,numeric
img_hsv_v_hist_bin_6,2.019774358974358,2.02,2.1348664255359453,numeric
img_hsv_v_hist_bin_6,2.6478456034265556,2.648,2.1357005850041766,numeric
img_hsv_v_hist_bin_6,3.219930957226195,3.22,2.137410912514494,numeric
img_hsv_v_hist_bin_6,4.003378801093087,4.003,2.1694688617064353,numeric
img_hsv_v_hist_bin_6,5.269515669515668,5.27,2.2119697173063955,numeric
