feature_name,importance_mean,importance_std
campaign_id,0.5371852821092318,0.029905164312695028
ageing_days,0.22073755561390832,0.012074888488987027
cover_mm,0.12450819108673047,0.024495072809780843
split_group_treatment,0.030765523799210347,0.0075525753565505544
series_id,0.0276948385358259,0.004903110555684833
treatment_label_coarse,0.027548697283964824,0.006265348534700243
treatment_protocol,0.01614234821174661,0.0032572086520426613
treatment_coarse,0.015417563359381724,0.004076887846907592
