split_name,repeat_id,fold_id,split_id,membership,specimen_id,campaign_id,n_steel_mesh,series_id,split_group_treatment,sample_name,week,is_measured_ultimate_load
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20220714-8W,8,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20220721-9W,9,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20220802-10W,10,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20220822-13W,13,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20220906-15W,15,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20221102-24W,24,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20221110-25W,25,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI01,campaign_1,7,S1,S1_MI,S1MI01-20221206-28W,28,True
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI02,campaign_1,7,S1,S1_MI,S1MI02-20221102-24W,24,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI02,campaign_1,7,S1,S1_MI,S1MI02-20221110-25W,25,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI02,campaign_1,7,S1,S1_MI,S1MI02-20221206-28W,28,True
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI03,campaign_1,7,S1,S1_MI,S1MI03-20220603-2W,2,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI03,campaign_1,7,S1,S1_MI,S1MI03-20220609-3W,3,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI03,campaign_1,7,S1,S1_MI,S1MI03-20220616-4W,4,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI03,campaign_1,7,S1,S1_MI,S1MI03-20220623-5W,5,False
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,test,S1MI03,campaign_1,7,S1,S1_MI,S1MI03-20220630-6W,6,False
