mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_splits,n_terminal_specimens,analysis_name,split_name,feature_set_name,feature_set_label,model_name,n_features
0.6007426706367727,0.0151588499023161,0.6312396811529646,0.014317015791539413,-8.126052064083506,0.2075859175384101,0.38837685643243647,0.05764160625695194,2,43,pooled_post_onset,leave_one_campaign_out,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,88
0.6215385479172932,0.031162562480883744,0.652167573630305,0.03102336507459878,-8.765204933553477,1.1476117870341778,0.21267398093026146,0.03517473755699903,2,43,pooled_post_onset,leave_one_campaign_out,metadata_only,metadata-only,Ridge,11
0.6431309068983635,0.09524211108938375,0.6727412954993637,0.09792054628574233,-9.51211759773388,3.255225194684556,0.177129504993536,0.30386550291928915,2,43,pooled_post_onset,leave_one_campaign_out,hsv_only,HSV-only,CatBoost,36
0.6532330027571793,0.0023757314046425285,0.6799357741156083,0.004356347723452345,-9.592855502570774,0.3752377809950226,0.3185440276939267,0.13525428687785498,2,43,pooled_post_onset,leave_one_campaign_out,rgb_only,RGB-only,CatBoost,41
0.6539708181301567,0.040496134639694085,0.6823049783500361,0.04346752404821178,-9.70204841413987,1.6005530196585627,0.06717262322062291,0.2550960987617759,2,43,pooled_post_onset,leave_one_campaign_out,rgb_hsv,RGB+HSV,CatBoost,77
0.7472637048306564,0.3417891416894976,0.7934978121844902,0.3169081333972244,-14.705035159607815,11.87387051289998,-0.06307881438832821,0.1636718747984787,2,43,pooled_post_onset,leave_one_campaign_out,metadata_hsv,metadata+HSV,Ridge,47
0.7535568639904127,0.02895086386217765,0.788821722051378,0.03212725373705649,-13.27981903224269,1.4837909312396496,0.2125202022325364,0.13134781567859505,2,43,pooled_post_onset,leave_one_campaign_out,metadata_rgb,metadata+RGB,Ridge,52
