stage,feature_name,source_family,data_type,variance,nunique,top_value_fraction,included_in_stage
surface,img_strip_high_count,image_spatial,float64,135.23648322104793,47,0.5853350189633375,True
surface,img_strip_peak_location_cm,image_spatial,float64,66.6907344832959,46,0.18710493046776233,True
surface,img_rust_center_of_mass_cm,image_spatial,float64,29.712623850093877,724,0.08470290771175727,True
surface,img_edge_to_center_rust_ratio,image_spatial,float64,7432499139.200004,715,0.08470290771175727,False
hidden_damage,sample_name,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,specimen_id,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,n_steel_mesh_raw,raw_source,int64,2.297872340425532,2,0.5,False
hidden_damage,treatment_raw,raw_source,object,,7,0.375,False
hidden_damage,treatment_label_raw,raw_source,object,,5,0.375,False
hidden_damage,ageing_days,temporal,int64,800.6808510638298,2,0.5,True
hidden_damage,surface_total_rust_pct,target,float64,100.4953224822695,46,0.0625,False
hidden_damage,surface_total_rust_category,target,int64,0.9215425531914894,4,0.4583333333333333,False
hidden_damage,peak_rust_pct,target,float64,253.91950795035464,47,0.041666666666666664,False
hidden_damage,peak_rust_category,target,int64,1.3404255319148937,4,0.375,False
hidden_damage,peak_rust_location_cm,other,float64,51.933901950354574,9,0.25,False
hidden_damage,cover_mm_raw,raw_source,float64,2.734204078014185,48,0.020833333333333332,False
hidden_damage,wire_area_loss_raw,raw_source,float64,0.01949636346950355,48,0.020833333333333332,False
hidden_damage,ultimate_load_kn,target,float64,0.14677021276595753,39,0.041666666666666664,False
hidden_damage,specimen_id_from_name,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,date,identifier_or_flag,int64,99207560.17021276,2,0.5,False
hidden_damage,week,temporal,int64,16.340425531914892,2,0.5,False
hidden_damage,calendar_date,identifier_or_flag,object,,2,0.5,False
hidden_damage,campaign_id,tabular_metadata,object,,2,0.5,True
hidden_damage,series_id,tabular_metadata,object,,9,0.14583333333333334,True
hidden_damage,split_group_treatment,tabular_metadata,object,,9,0.14583333333333334,True
hidden_damage,treatment_protocol,tabular_metadata,object,,10,0.20833333333333334,True
hidden_damage,treatment_coarse,tabular_metadata,object,,7,0.375,True
hidden_damage,treatment_label_coarse,tabular_metadata,object,,5,0.375,True
hidden_damage,n_steel_mesh,tabular_metadata,int64,2.297872340425532,2,0.5,False
hidden_damage,nacl_pct,tabular_metadata,float64,0.574468085106383,2,0.5,False
hidden_damage,terminal_week,temporal,int64,16.340425531914892,2,0.5,False
hidden_damage,terminal_days,temporal,int64,800.6808510638298,2,0.5,False
hidden_damage,image_filename,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,image_path,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,image_readable,identifier_or_flag,bool,0.0,1,1.0,False
hidden_damage,image_width,identifier_or_flag,float64,0.0,1,1.0,False
hidden_damage,image_height,identifier_or_flag,float64,8.333333333333336,2,0.9791666666666666,False
hidden_damage,image_error,identifier_or_flag,float64,,0,1.0,False
hidden_damage,observation_id,identifier_or_flag,object,,48,0.020833333333333332,False
hidden_damage,wire_area_loss_frac,target,float64,0.01949636346950355,48,0.020833333333333332,False
hidden_damage,wire_area_loss_pct,other,float64,194.96363469503544,48,0.020833333333333332,False
hidden_damage,cover_mm,tabular_metadata,float64,2.734204078014185,48,0.020833333333333332,True
hidden_damage,has_structural_label,identifier_or_flag,bool,0.0,1,1.0,False
hidden_damage,is_terminal_structural_row,identifier_or_flag,bool,0.0,1,1.0,False
